name,keywords
許家牛肉麵,"['湯頭', '伯伯', '小店', '牛肉', '紅燒', '選擇', '份量', '地道', '一碗', '味道']"
豐樂亨鍋-石頭火鍋|涮涮鍋|剝皮辣椒鍋|宵夜推薦||捷運士林站||士林,"['湯底', '士林', '不錯', '這裡', '石頭', '他們', '喜歡', '我覺', '奶茶', '口味']"
歡樂便所主題餐廳,"['餐點', '開立', '營業', '餐廳', '一發票', '球池', '支付', '口味', '親子', '有點']"
高賓餐廳,[]
紅錦越式料理（無訂位服務）Hong Cam Restaurant,"['烤肉', '推薦', '河粉', '份量', '牛肉', '蝦餅', '口感', '春卷', '越南', '味道']"
酒米食堂chumi_canteen－北投店beitou,"['特別', '雪見', '純牛漢堡', '服務', '菜色', '口感', '美味', '味道', '腿肉', '每道菜']"
老倉庫,"['u3000', '起司', '味道', '不錯', '餐點', '飲料', '松露', '薄餅', '開胃', '覺得']"
方家小館,"['起來', '方家', '雞湯', '適合', '小籠', '菜飯', '處理', '蔥油餅', '服務', '蝦仁']"
CA rolls' 美日式料理,"['壽司', '蟹肉', '店門口', '加州', '口味', '味道', '經過', '這家', '幾次', '就點']"
七窟餐廳,"['餐點', '菜色', '脆皮', '餐廳', '不會', '真的', '搭配', '一碗', '肉汁', '陽明山']"
蔦燒日式居酒屋-北投店,"['他們', '明太子', '居酒', '一個', '腿肉', '香氣', '用餐', '非常', '美食', '氣氛']"
茉莉漢堡,"['薯條', '漢堡', '餐點', '奶昔', '牛肉', '經典', '天母', '適中', '炸雞', '熱狗堡']"
麥當勞 台北大業餐廳,"['服務', '感謝', '一樣', '小黃瓜', '出餐', '餐點', '大薯', '麥當', '謝謝', '剛好']"
大戶屋新北投店,"['00', '鰻魚', '餐點', '服務', '白飯', '北投', '泡菜', '茶碗', '套餐', '可樂餅']"
麥當勞-台北石牌餐廳,"['杯子', '什麼', '一顆', '店員', '這樣', '冰淇淋', '玉米', '只有', '生日', '不好意思']"
拾山享中餐廳,"['服務', '餐廳', '應該', '東西', '餐點', '美味', '餐飲', '規中矩', '禮貌', '實則']"
卡拉拉餐廳,"['餐廳', '卡拉拉', '食材', '整體', 'CP', '大利', '自助', '兩邊', 'buffet', '人覺']"
貝兒義式餐廳,"['大利', '濃湯', '整體', '奶油', '濃郁', '雞肉', '紅茶', '價格', '兩種湯', '環境']"
家鄉餐廳,"['中卷', '沒有', '泰山', '海菜', '客人', '港式', '美味可口', '小炒', '倒忙', '魷魚']"
清和餐廳,"['烏魚子', '辦桌', '招牌', '餐廳', '桌菜', '不錯', '這桌', '不起眼', '三重', '帝王']"
大食客海鮮餐廳,"['桌菜', '的關', '很熱', '還好', '還行', '慶生', 'OK', '合菜', '親切', '謝謝']"
兩支北方麵食館 板橋民族店,"['起來', '牛肉', '非常', '推薦', '口味', '蔥油餅', '喜歡', '醬料', '回訪', '餐廳']"
Oval meat 美式餐廳,"['u2060', '搭配', '喜歡', '餐點', '洋蔥圈', '沙拉', '午餐', '吐司', '不會', '應該']"
海天餐廳,"['菜色', '用餐', '炸豆腐', '餐廳', '預約', '當天', '30', '白飯', '不會', '喜歡']"
布查花園法式料理,"['沙拉', '甜點', '布丁', '餐廳', '餐點', '585', '還要', '焦糖', '羊排', '如一日']"
博串燒居酒屋,"['蝦仁', '櫻花', '不會', '金沙', '粒粒', '腿肉', '捷運', '居酒', '午仔魚', '香氣']"
北平金廚,"['烙餅', '中式', '00', '避風塘', '絲瓜', '汽鍋', '餐廳', '不錯', '素食', '味道']"
綠漾餐廳 Green Restaurant - 北投亞太飯店 Asia Pacific Hotel Beitou,"['晚餐', '不錯', '新鮮', '餐廳', '套餐', '羊排', '沒有', '不過', '飲料', '選擇']"
川味串香 麵食館,"['串串', '寵物', '小菜', '有點', '紅油', '沒有', '不會', '75', '40', '環境']"
老淡水餐廳,"['菜色', '停車場', '推薦', '餐點', '份量', '口味', '不會', '餐廳', '親切', '環境']"
名廚鐵板燒,"['套餐', '鐵板燒', '環境', '一樣', '蛤蜊', '湯都', '老舊', '15', '每一樣', '新鮮']"
魔法咖哩 淡水店,"['咖哩', '超級', '牛肉', '奶酪', '換取', '態度', '果香', '奶油', '咖喱', '還不錯']"
金山客家小館,"['客家', '口味', '合菜', '餐點', '沒有', '環境', '服務', '小館子', '用餐', '三杯']"
阿里郎村落,"['海鮮', '湯飯', '泡菜', '煎餅', '沒有', '點了', '韓式', '牛肉', '肉片', '用餐']"
滿足溫泉拉麵 Manzu Ramen,"['店家', '評論', '炸豆腐', '真的', '湯頭', '290', '20', '一份', '不要', '發票']"
來喫川菜,"['不錯', '口味', '川菜', '白飯', '20', '感覺', '整體', '蝦球', '味道', '太油']"
美味登早餐店,"['吐司', '厚片', '30', '這麼', '經濟', '早餐', '真的', '停不下', '吸收', '本體']"
208早餐店,"['蛋餅', '漢堡', '脆皮', '還有', '陽明', '學生', '薯條', '豬排', '酥脆', '手工']"
雲海餐廳,"['龍蝦', '菜色', '一樣', '價格', '新鮮', '招牌', '蒜蓉', '本來', '董火鍋', '無意間']"
樂釜 Love Hot Pot 極上鍋物(徐匯店),"['服務', '環境', '舒適', '服務人員', '一個', '這裡', '肉品', '店家', '沙茶', '土味']"
肉老大頂級肉品火鍋 蘆洲長安店,"['湯底', '不錯', '喜歡', '起來', '海鮮', '還有', '冰淇淋', '麻辣', '口味', '冬粉']"
秘食咖啡-蘆洲店｜早午餐推薦｜蘆洲美食｜蘆洲早午餐｜蘆洲咖啡廳,"['建議', '起司', '口感', '餐點', '喜歡', '食量', '拖鞋', '套餐', '卡拉', '吐司']"
饗食鍋-蘆洲中原店,"['飲料', '火烤', '菜盤', '環境', '醬料區', '兩吃', '冰淇淋', '烤肉', '王子', '咖啡']"
江媽媽美食(北投市場),"['這樣', '蝦子', '蛤蜊', '大利', '清炒', '青醬', 'CP', '評價', '80', '兩次']"
3號場餐廳,"['預約', '三號場', '..', '實在', '營業', '用料', '竹子湖', '限次', '時間', '沒有']"
24小吃店,"['肉羹', '油豆腐', '乾意', '魷魚', '還不錯', '二樓', '青菜', '那種', '不錯', '一樓']"
椰林溫泉美食餐廳,"['溫泉', '沒有', '餐廳', '10', '夠熱', '人員', '不會', '時間', '這裡', '太低']"
印度媽媽 Indian Mama,"['沒有', '輸入', '門牌', '號碼', 'Uber', 'nFantastic', 'chickpea', 'salad', '正宗', '位置']"
草山行館烤地瓜,"['淋上', '些許', '適合', '品嚐', '一塊', '細炸', '裡面', '軟嫩且', '唯獨', '不夠']"
陽明山竹子湖杉木林餐廳,"['水蓮', '青菜', '份量', '大腸', '雞肉', '米粉', '牛肉', '點了', '白斬雞', '免費']"
青菜園,"['餐廳', '用餐', '地瓜', '餐點', '青菜', '非常', '覺得', '環境', '廁所', '必點']"
松園禪林,"['環境', '整體', '五顆', '餐點', '口味', '牛肉', '一個', '前菜', '還不錯', '態度']"
常青廬,"['不錯', '雞湯', '訂位', '點餐', '竹筍', '這道', '上菜', '用餐', '搭配', '方式']"
陽明山竹子湖故鄉海芋農園-附設餐廳,"['白斬雞', '必點', '竹子湖', '陽明山', '餐廳', '鱸魚', '不錯', '客滿', '排隊', '餐點']"
名廚料理（竹子湖店）,"['脆皮', '菜色', '再來', '雞肉', '推薦', '建議', '還有', '店家', '用餐', '下次']"
珠珠小歇,"['親切', '停車', '土雞', '用餐', '口味', '明山', '山藥鮮', '筍子', '空間', '不錯']"
湖田橋,"['地瓜', '店家', '料理', '免費', '不會', '雞肉', 'CP', '客人', '竹子湖', '推薦']"
湖田大樹下,"['停車', '餐點', '沒有', '推薦', '驚艷', '雖然', '餐廳', '價格', '乾淨', '環境']"
山水香庭園野菜,"['沙茶', '推薦', '山豬', '雞肉', '山當', '不錯', '問題', '店家', '美味', '豆腐']"
陽明山悠閒居,"['咖啡店', '餐廳', '裡面', '鋼絲', '感覺', '衛生', '清潔', '應該', '陽明山', '悠閒']"
馬槽花藝村(陽明山溫泉),"['湯屋', '溫泉', '設備', '兩個', '地點', '一個', '這邊', '怎麼', '泉池', '沐浴乳']"
六窟（無預約/無訂位）,"['300', '泡湯', '湯屋', '肥腸', '推薦', '餐廳', '用餐', '小炒', '沒有', '收費']"
山園野菜美食館,"['米粉', '地瓜', '消費', '350', '比較', '山園', '甜湯', '菜色', '人潮', '蔬菜']"
大腸麵線,"['大腸', '料多', '不貴', '綜合', '經過', '驚訝', '車經過', '而選', '檔口', '我點']"
阿婆麵店,"['阿婆', '16', '沒變', '一個', '回憶', '有愛心', '獎學金', '經過', '油飯', '親切']"
Waves Taco,"['福隆', '撕豬', '玉米片', '乾淨', '辣椒', 'Taco', '沒有', '內用', '舒適', '豬肉']"
鄉土情餐廳,"['店家', '口味', '不錯', '絲瓜', '價格', '250', '30', '保鮮膜', '重包', '臉色']"
永亨無骨炸雞,"['路過', '經過', '發現', '真的', '做生意', '味道', '價格', '不貴', '薯條', '梅粉']"
大井頭炸雞排,"['雞排', '經過', '兩份', '血絕', '水準', '再路過', '必買', '榮登', '炸物', '開車']"
TIKI REPUBLIK,"['大利', '冰淇淋', '福隆', '披薩', '旁邊', '店內', '熱情', '還有', '餐廳', '手工']"
Louis bistro 路易斯 手抓海鮮,"['海鮮', '抓海鮮', '新鮮', '口味', '可以', '福隆', 'n2', '種類', '鈴薯', '加點']"
石花凍,[]
Uncle Denis,"['海邊', '平價', '異國', '關島', '希爾頓', '主廚', '親自下廚', '以後還會', '關注', '料多']"
丹內食堂,[]
正宗海南雞飯,"['雞飯', '海南', '咖喱', '肉質', '雞肉', '咖哩', '牛腩', '香料', '價位', '沒有']"
藍灣咖啡&餐廳Blue Bay Cafe & Restaurant - 鹽寮店,"['飲料', '低消', '咖啡', '沙灘', '乾淨', '150', '好喝', '玩水', '口味', '服務人員']"
蘇格澳底海洋書苑,"['貓哥', '浮潛', '澳底', '新鮮', '海洋', '料理', '體驗', '服務', '適合', '私廚']"
龍蝦大王,"['不錯', '餐廳', '一點', '新鮮', '海鮮', '停車場', '整體', '250', '小卷', '150']"
酒囊飯袋 家常菜餐廳,"['餐廳', '份量', '用餐', '菜色', '新鮮', '口味', '非常', '這裡', '價格', '11']"
星空X藝素村Sky Art Vegan Village,"['浮球', '石花', '福隆', '手作', '咖喱', '蔬食', '天貝', '不錯', '感覺', '氣氛']"
JSP 呷尚寶,"['早餐', '蛋餅', '澳底', '奶茶', '不過', '鐵板', '那種', '顆的', '絕對', '勉強']"
澳底尚青現撈海鮮熱炒店,"['軟絲', '店家', '石花', '這裡', '不會', '非常', '冬粉', '調味', '沒有', '謝謝']"
92k週末食堂,"['九孔', '推推', '葡萄', '新鮮', '鹽燒', '甜點', '價格', '建議', '玉子燒', '雞肉親']"
楓味活海鮮餐廳/群策/福泰/白宮/免費路邊停車/旅行社團繕/restaurant /平價熱炒,"['不會', '一樣', '餐廳', '中卷', '這道', '喜歡', '門口', '口味', '上菜', '店家']"
龜吼新小微漁坊,"['海菜', '炒蛋', '海鮮', '新鮮', '推薦', '螃蟹', '漁港', '點了', '沒有', '海瓜子']"
巧晏漁坊,"['...', '綜合生', '魚片', '價格', '金沙', '花蟹', '中卷', '新鮮', '服務', '蝦子']"
金翡翠活海鮮,"['新鮮', '超級', '不會', '用餐', '螃蟹', '海鮮', '服務', '停車位', '還送', '芋頭']"
漁家鄉海鮮餐廳,"['清蒸', '12', '師傅', '喜歡', '新鮮', '龍蝦', '海魚', '味道', '口感', '真的']"
野柳珠海餐廳,"['海鮮', '新鮮', '介紹', '餐點', '價格', '九孔', '親切', '離飯', '不會', '推銷']"
野柳望海亭海鮮餐廳,"['海瓜子', '中卷', '花蟹', '三杯', '海鮮', '起來', '因為', '肉質', '配料', '還算']"
魚村活海鮮,"['市集', '炒飯', '漁港', '這家', '推薦', '份量', '口味', '料理', '海瓜子', '花蟹']"
四姊妹海鮮餐廳,"['龍蝦', '太座', '餐廳', '光臨', '石斑', '清蒸', '店家', '用餐', '海瓜子', '小姐姐']"
祈願軒,"['餐廳', '用餐', '文理', '法鼓', '學院', '學生', '顆星', '一個', '能夠', '經營']"
終角灣休閒餐廳,"['遊客', '旁邊', '中角灣', '舒適', '敞並', '透過', '窗戶', '欣賞', '海灘', '簡單']"
頂上火鍋,"['泰式', '湯頭', '還有', '好喝', '椰奶', '酸辣', '奶茶', '泰國', '泰國人', '親切']"
Drink House君浩美食坊,"['冰沙', '海景', '停車', '一點', '價格', '店家', '初二', '真的', '口味', '北海岸']"
庚辛廚房,"['餐廳', '推薦', '環境', '因為', '空心菜', '菜色', '海菜', '口味', '乾淨', '服務']"
瑪克的院子in Juming Museum(朱銘美術館內),"['美術館', '朱銘', '小瑪克', '這裡', '環境', '參觀', '餐點', '用餐', '園區', '推薦']"
泰式料理- PATTAYA,"['泰式', '東西', '餐點', '咖哩', '可以', '用餐', '口味', '脆皮', '香香的', '戶外區']"
順發活海產,"['店家', '推薦', '炒飯', '60', '蛤蜊', '份量', '划算', '三杯', '海瓜子', '花蟹']"
原道館國際餐飲股份有限公司,[]
新北市石門洞左邊第一攤炸物,"['海鮮', '價廉味', '再來', '旁邊', '美麗', '海景', '下次', '就是', '可以']"
十八王公土雞城,"['超級', '親切', '熱炒店', '石門', '無奇', '裝潢', '餐廳', '門面', '美麗', '風景']"
石門林媽媽素食粽,"['口味', '粽店', '停車', '感覺', '一顆', '推薦', '絲草', '小孩', '非常', '石門']"
金寶山寶山堂,"['環境', '用餐', '餐廳', '餐點', '飲料', '這裡', '金寶山', '點了', '乾淨', '雞腿']"
阿秀海鮮,"['新鮮', '海瓜子', '炸紅燒', '350', '推薦', '還不錯', '口味', '餐點', '鮮甜', '因為']"
田中芳園,"['非常', '食材', '餐點', '料理', '芋頭', '帶出', '環境', '舒適', '再訪', '無菜']"
林家鳳螺燒酒螺,"['燒酒', '口味', '價格', '有點', '態度', '阿婆', '怕怕', '空包', '一口', '經過']"
依海廚房,[]
餘興味炸物專賣,"['親切', '還有', '清淡', '酥脆可口', '期待', '新鮮', '炸物', '剛好', '每樣', '推薦']"
有名肉粽 石門肉粽 十八王公王家肉粽 石門推薦臭豆腐 石門新聞推薦肉粽 石門美食肉粽,[]
富有素食坊 HOYA Vegetarian Restaurant,"['不錯', '餛飩', '一個', '70', '麻醬', '風格', '蜜蜜', '臭豆腐', '份量', '摸摸']"
原素食府,"['用餐', '非常', '動線', '素食', '自助餐', '排隊', '時候', '影響', '食材', '品質']"
Chia Chia Restaurant 嘉嘉 義大利麵餐館,"['口感', '有點', '樹林', '套餐', '兩個', '甜點', '喜歡', '雙人', '乾淨', '不錯']"
青雅中餐廳,"['包廂', '菜色', '用餐', '希爾頓', '一個', '窗邊', '餐點', '口味', '聚餐', '青雅']"
珍寶園餐廳,"['不錯', '口感', '蝦子', '相當', '份量', '咖喱', '口味', '怪異', '餐廳', '豐富']"
展苑素菜餐廳,"['取餐', '排隊', '時間', '餐廳', '民眾', '店家', '外帶', '餐點', '一樣', '份量']"
五男居酒屋,"['特別', '不錯', '不會', '服務生', '上菜', '一個', '貼心', '氣氛', '再訪', '店員']"
坐著做。居酒屋,"['不會', '沒有', '明太子', '居酒', '雞肉', '口味', '口感', '感覺', '人覺', '玉子燒']"
永川牛肉麵,"['牛肉', '一點', '川味', '點了', '肉絲', '有點', '覺得', '湯頭', '整體', '榨菜']"
TGI FRIDAYS 星期五美式餐廳 中壢餐廳,"['餐點', '感覺', '美式', '餐廳', '漢堡', '牛排', '用餐', '選擇', '一送', '拼盤']"
Desi Spices Indian Restaurant,"['咖哩', '烤餅', '起來', '香料', '風味', '印式', '優格', '奶油', '搭配', '感覺']"
焱匠居酒屋,"['沒有', '餐點', '明太子', '口感', '還有', '不會', '一點', '日式', '用餐', '起來']"
禾豐居酒屋(複合式),"['店內', '餐點', '環境', '85', '感覺', '上菜', '不錯', '空間', '不夠', '氣氛']"
中壢牛肉麵,"['牛肉', '口味', '這家', '湯頭', '調味', '推薦', '細粉', '軟嫩', '入味', '榨菜']"
DAVID DINER 大衛好食（美墨料理）,"['豬肋排', '起司', '餐點', '漢堡', '套餐', '半份', 'BBQ', '比較', '環境', '餐廳']"
Mint Pasta 中原店,"['大利', '披薩', '店內', '非常', '湯汁', '不過', '可愛的', '餐廳', '推薦', '蛤蜊']"
Miru美式漢堡•啤酒餐廳（美式漢堡/米飯料理/烤牛排/生啤酒/寵物不落地）,"['漢堡', '沙拉', '飲料', '薯條', '一點', '進來', '價錢', '花生', '感覺', '整體']"
鳥一番居酒屋,"['沒有', '進來', '感覺', '有點', '不錯', '份量', '刷卡', '用餐', '年期', '很多']"
印度餐廳斯瓦格特 Swagat Indian Restaurant,"['香料', '雞肉', '咖哩', '奶茶', '烤餅', '起司', '印度', '脆球', '料理', '奶油']"
新明老牌牛肉麵,"['牛肉', '湯頭', '酸菜', '味道', '140', '起來', '30', '一點', '不會', '香氣']"
M's 涮涮屋-中壢店,"['海鮮', '免費', '送過', '食材', '剛好', '還有', '火鍋店', '原來', '壽星禮', '麻辣']"
美鵑園餐廳,"['服務', '口味', '味道', '蹄膀', '高歌一曲', '每道菜', '美味可口', '餚的', '水準', '二樓']"
Punjabi Grill 旁賈彼印度料理,"['咖喱', '烤餅', '喜歡', '咖哩', '菠菜', '口味', '羊肉', '香料', 'naan', 'pita']"
WARUNG INDO SEMARANG MASAKAN KHAS JAWA,"['...', 'sangat', 'bisa', '不錯', '特推', '這一間', 'Baksonya', 'mantul', 'nila', 'gorengnya']"
WOW LITSON MANOK & INASAL - CHUNGLI,"['台灣', '脆皮', '味道', '出國', '香料', '豬肉', '菲律賓', '烤豬', '菲律', '賓人']"
桃園素食推薦！中壢『蔬潮』創意料理廚房（義大利麵、中日式、各式餅類湯類）（原天珍蔬食）,"['蔬食', '餐點', '親切', '美味', '素食者', '喜歡', '抓餅', '推薦', '他們', '用心']"
州味涼麵 (Marita’s Filipino Restaurant),"['麻醬', '雞絲涼', '順口', '料理', '點飯', '我覺', '還不錯', '有點', '適合', '喜歡']"
紅色穀倉美式餐廳-淡水店,"['餐廳', '奶茶', '不錯', '還有', '美式', '淡水', '有點', '起司', '10%', '漢堡']"
水灣餐廳 榕堤店,"['餐廳', '淡水', '不錯', '因為', '用餐', '套餐', '特別', '剛剛', '島風', '建議']"
COBEE COCINA西班牙料理(Cafe COBEE) (店休日以FB公告為主),"['一點', '有點', '料理', '味道', '甜點', '時候', '海鮮飯', '雞肉', '西班牙', '服務生']"
木棧板餐廳,"['餐廳', '服務', '不錯', '餐點', '真的', '口味', '決定', '雖然', '說明', '雞腿義']"
佬港冰室茶餐廳,"['餐點', '用餐', '服務', '大圓桌', '口味', '三桌', '普普', '覺得', '廚房', '結果']"
瑞士小屋 Alphütte,"['煎餅', '薯絲', '料理', '搭配', '香腸', '驚艷', '起司', '適合', '還有', '店內']"
英國奶奶,"['司康', '推薦', '10', '這次', '起司', '口味', '英式', '搭配', '奶昔', '美食']"
艾莉斯餐酒館,"['美味', '雙人', '餐點', '套餐', '..', '他們', '介紹', '這次點', '看得出', '天母']"
水灣餐廳Waterfront 八里店,"['餐廳', '用餐', '評分', '感覺', '環境', '不錯', '一個', '一樣', '套餐', '八里']"
淡水迦南餐廳,"['餐廳', '非常', '裝潢', '相當', '鯛魚', '甜點', '適合', '氣氛', '還會', '肋小排']"
海豆子花園餐廳,"['餐廳', '淡水', '環境', 'U0001fa77', '收費', '很棒', '老街', '聚餐', '美景', '小西']"
霸味薑母鴨-淡水店,"['濃厚', '一種', '桃園', '味道', '享受', '太甜', '香氣', '肉質', '鮮嫩', '其獨特']"
HOOKED,"['漢堡', 'fries', 'were', 'they', 'them', 'got', 'guys', 'food', 'My', 'good']"
大胖活海產,"['新鮮', '推薦', '海鮮', '餐廳', '不錯', '覺得', '一邊', '很棒', '用餐', '螃蟹']"
河畔餐廳,"['整體', '不錯', '海鮮', '種類', '非常', '套餐', '自助餐', '親切', '食材', '豐富']"
LA VILLA DANSHUI,"['大利', '店員', '二樓', '餐廳', '因為', '一個', '不錯', '用餐', '套餐', '客人']"
薩莉亞 淡水站前店,"['薩利亞', '不錯', '用餐', '時間', '起司', '電梯', '沙拉', '服務費', '醬料', '飲料']"
七號美式餐廳,"['漢堡', '整體', '薯塊', '飲料', '選擇', '店內', '點了', '牛肉', '喜歡', '餐點']"
洋城義大利餐廳-桂林家樂福店,"['細心', '值得', '30', '沒開', '家樂福', '很濃', '試試', '服務態度', '可親', '足夠']"
Little Beanie Chinese Quick Service Restaurant,"['西門', '沒有', '茄汁', '親切', '蛋餅', '內用', '應該', '一顆', '再給', '雖然']"
阿毛餐廳,"['狗狗', '服務生', '送餐', '沒有', '時候', '飲料', '出餐', '一個', '店員', '還有']"
犢立牛肉麵,"['牛筋', '入味', '牛肉', '不會', 'beef', '辣油', 'Ximen', 'area', '湯頭', '不錯']"
黔園川菜餐廳,"['有點', '餐點', '蝦仁', '環境', '不錯', '這樣', '198', '一樣', '138', '那麼']"
喜客來早餐店,"['蛋餅', '酥脆', '一點', '星期六', '白跑一趟', '什麼', '這裡', '有夠', '西門', '戶外']"
Buttermilk摩登美式餐廳(吃吧 chiba),"['西門', '意舍', '餐廳', '氣氛', '餐點', '服務', '美式', '選擇', '披薩', '飲料']"
美好美早餐店,"['阿姨', '店家', '沒有', '一個', '綠茶', '反應', '一樣', '不過', '什麼', '過去']"
良品牛肉麵,"['牛肉', '湯頭', '排骨', '口感', '小菜', '味道', '點了', '特別', '紅燒', '40']"
擂銗餐廳,"['他們', '港式', '口感', '套餐', '餐廳', '餐點', '推薦', '點心', '不錯', '回訪']"
馬來亞粵菜餐廳,"['份量', '每道菜', '包廂', '服務人員', '廣式', '現在', '已經', '還有', '忘記', '上桌']"
くら寿司 藏壽司 台北館前店,"['用餐', '霜淇淋', '壽司', '扭蛋', '甜點', '藏壽司', '喜歡', '這個', '一個', '乾淨']"
玖伍牛肉麵,"['牛肉', '湯頭', '紅燒', '口味', '小菜', '油炒', '不錯', '有點', '豆干小魚', '一盤']"
Non,"['甩餅', '餅皮', 'n1', '咖喱', '雞肉', '咖哩', '食物', '奶茶', '口味', '香料']"
Ibrahim Ma's Halal Restaurant,"['烤餅', '...', '風味', '咖哩', '牛筋', '牛肚', '很棒', '出爐', '剛出', '餅皮']"
約好。守食,"['餐點', '公仔', '親切', '環境', '服務', '店內', '還有', '沒有', '喜歡', '大利']"
臨園餐廳,"['糖醋', '臨園', '這麼', '停車', '推薦', '不油', '白飯', '口味', '豆腐', '一碗']"
"I-Gotahan sa Taoyuan, Philippine Restaurant, 菲律賓餐廳",[]
台北牛肉麵,"['經過', '點了', '餛飩', '打開', '路過', '湯還', '聞到', '建議', '剛剛', '這家店']"
大埔鐵板燒 中壢環東店,"['師傅', '不會', '謝謝', '不錯', '沒熟', '大埔', '一份', '朋友', '真的', '拒吃']"
醉神活海鮮料理(熱炒),"['因為', '用餐', '超級', '菜色', '小朋友', '評論', '不會', '選擇', '推薦', '鳳梨蝦']"
懷念餐廳,"['不錯', '餐廳', '豆花', '其實', '還算', '偏遠', '地人', '帶路', '不會', '這家']"
饗泰多 Siam More 泰式風格餐廳 桃園八德店,"['泰式', '冬粉', '餐點', '移動', '整體', '咖哩', '喜歡', '什麼', '獨特', '不過']"
異域Mortar&Pestle,"['空間', '適合', '停車', '不錯', '氣氛', '超級', '白飯', '拋豬', '菜系', '神偷']"
綠園海鮮餐廳,"['菜色', '預訂', '這次', '感覺', '中卷', '聚餐', '店家', '招牌', '十道菜', '糖醋排骨']"
土埆厝復古小館,"['客家', '扣肉', '梅干', '每道', '味道', '小炒', '有點', '菜脯', '完食', '必須']"
樹朵 Blossom | 活動包場 | 外燴餐食 |,"['餐點', '大利', '聚餐', '服務', '試試', '適合', '還有', '排餐', '選擇', '建議']"
久久台菜海鮮餐廳,"['果汁', '餐廳', '菜色', '食材', '一盤', '50', '飲料', '結帳', '帳單', '麥茶']"
Mr.May義式料理 中壢店,"['餐點', '沙拉', '口味', '親切', '服務', '主餐', '披薩', '環境', '再來', '態度']"
舊原味牛肉麵,"['牛肉', '水餃', '小菜', '炒飯', '飽滿', '服務', '大塊', '熱情', '份量', '口味']"
塔城街牛肉麵,"['牛肉', '不錯', '推薦', '湯頭', '小菜', '評論', '點了', '湯和切', '湯湯頭', '普普']"
錢都日式涮涮鍋-桃園八德介壽店 CHIEN TU HOT POT,"['這裡', '新鮮', '大眾', '還有', '沒有', '這間', '店長', '自助', '時間', '分鐘']"
南國風味泰緬料理,"['還有', '炒蛋', '特別', '覺得', '感覺', '不過', '河粉', '印度', '划算', '薄片']"
滇城雲南美食,"['豆粉', '咖哩', '料理', '炒青菜', '豌豆粉', '牛肉', '一盤', '雞肉', '湯頭', '整體']"
卡洛利D 特色家鄉菜~Kapuso Resto,"['菲式', '咖哩', '茄子', '椰果', '牛肉', '非常', '親切', '續白飯', '續飯', '湯飯']"
Lechon Deli餐館,"['餐廳', '布丁', '菲律賓', '醬料', '台灣', '沒有', '餐點', 'Halo', '特別', '剛好']"
佳家福客家餐廳,"['餐廳', '這邊', '沒有', '菜色', '就是', '聚餐', '口感', '清淡', '喜歡', '絲大腸']"
郵差先生,"['餐點', '整體', '服務', '店員', '介紹', '用餐', '價位', '起來', '專業', '貼心']"
嗜燒肉黑毛和牛專門店,"['服務', '不錯', '肉品', '覺得', '適合', '烤肉', '非常', '幫忙', '時候', '有點']"
松果餐廳,"['適中', '棒棒', '香香', '好飯', '炸物', '超硬', '因為', '感覺', '滿滿', '營養']"
WARUNG SIDO LEGO,"['很不錯', '雞腿', '炒飯', '不油膩', '巴厘', '印尼', '料理', '十足', '味道']"
酒藏餐廳,"['餐廳', '料理', '桃園市', '平鎮區', '還不錯', '聚會', '不錯', '蛤蠣', '很特別', '菜色']"
蓋子美式餐廳,"['漢堡', '不錯', '起司', '明太子', '奶油', '鮮蝦', '大利', '辣肉', '炸雞', '內用']"
門前隱味牛肉麵(搬到三重空軍一村),"['年糕', '牛肉', '非常', '豆皮', '湯頭', '真的', '搭配', '親切', '還有', '整個']"
東呷牛肉麵,"['牛肉', '湯頭', '味道', '臭豆腐', '酸菜', '口感', '還有', '裡面', '整體', '辣椒']"
川耗仔食府,"['肥腸', '辣子', '因為', '不會', '還有', '川菜', '酸菜', '糖醋排骨', '小辣', '水煮魚']"
Aniki 阿尼基美式餐廳-中壢店（最後出餐時間：20：00,"['漢堡', '美式', '風格', '這麼', '不錯', '餐廳', '飲品', '特別', '桌子', '份量']"
這是你的Chill box｜餐酒館｜西餐廳｜酒吧｜活動包場｜求婚包場,"['親切', '時光', '00', '這裡', '餐點', '調酒', '服務', '氣氛', '價位', '人覺']"
81 Restaurant 早午餐,"['餐點', '建議', '不錯', '因為', '點餐', '奶茶', '善意', '早餐', '味道', '心情']"
承華素食餐廳Cheng Hua Veggie Foodies Restaurant,"['空心菜', '偏貴', '用餐', '鈴薯', '這道', '環境', '食蔬', '起來', '280', '一盤']"
麥加印式香料餐館Mecca Indian Restaurant,"['烤餅', '咖哩', '羊肉', '非常', '雞肉', '印式', '口感', '香料', '咖喱', '待考']"
中新客家餐廳,"['大盤', '這間', '炸豆腐', '客家菜', '一個', '這家', '平價', '味精', '真的', '豆腐']"
金陵餐廳,"['餐廳', '份量', '口味', '調味', '白飯', '價格', '盤子', '有點', '不錯', '一間']"
家宴中餐廳,"['餐點', '優惠', '價格', '餐廳', '包廂', '整體', '訂位', '建議', '米粉', '告知']"
布朗沃(土城店),"['紅茶', '大利', '上餐', '濃湯', '不錯', '餐點', '不夠', '蛤蜊', '酒味', '白酒']"
兩支北方麵食館 新莊龍安店,"['推薦', '湯包', '白肉', '牛肉', '十足', '不過', '附荷', '葉餅', '木須', '缺點']"
