name,keywords
樂麵屋 西門店,"['點餐', '價格', '一樣', '可以', '湯頭', '有點', 'QR', '裡面', '調整', '代號']"
川揚郁坊小館,"['餐廳', '小菜', '菜色', '用餐', '非常', '還有', '東坡', '不膩', '入味', '味道']"
生猛活海鮮餐廳,"['菜色', '價格', '很新鮮', '選擇', '點了', '每樣', '推薦', '新店', '非常', '味道']"
AL REVÉS 餐廳 /顛倒restaurant,"['濃湯', '餐點', '飲料', '大利', '好喝', '貴妃', '起司', '230', '點餐', '青醬']"
阿毛餐廳,"['飲料', '調味', '餐點', '味道', '整體', '評價', '西門', '雞肉', '起司', '導致']"
すき家板橋新埔,"['廁所', '結果', '日式', '不外借', '不錯', '一點', '詢問', '餐廳', '顧客', '沒有']"
豚骨拉麵 Nagi 凪 西門店,"['豬腩', '口味', '下次', '吃過', '湯頭', '這次', '還有', '每碗', '算是', '成服']"
哦耶！旁遮普印度餐廳,"['雞肉', '咖哩', '甜點', '招待', '好喝', '不錯', '烤餅', '羊肉', '中文', '咖喱']"
BeApe Restaurant,"['沒有', '喜歡', '干貝', '有點', '甜點', '口味', '整體', '魚湯', '他們', '沙拉']"
Restaurant A,"['餐廳', '服務人員', '用餐', '驚喜', '品嚐', '菜單', '木塞', '料理', '同時', '總價']"
吉阿亞努印度餐廳 Jee Aayan Nu Indian Restaurant,"['推薦', '羊肉', '親切', '搭配', '咖喱', '旁遮普', '飲料', '店員', '咖哩', '口味']"
來賓 印度餐廳和酒吧Atithi Indian Restaurant & Bar,"['烤餅', '喜歡', '咖哩', '印度', '非常', '餐點', '特別', '商業', '親切', '很道']"
坦都餐廳有限公司,"['10%', '咖哩', '料理', '餐點', '印度', '烤餅', '環境', '餐廳', '羊肉', '拉西']"
L' AGE 熟成餐廳,"['餐點', '沒有', '兩道', '推薦', '用餐', '幾道', '餐廳', '甜點', 'share', '時間']"
TAJ 泰姬印度餐廳 (TAJ Indian Restaurant),"['起來', '咖哩', '咖喱', '裡面', '有點', '香料', '烤餅', '優格', '喜歡', '料理']"
Der Löwe Bavarian Restaurant 巴獅子德國餐廳,"['豬腳', '不過', '啤酒', '香腸', '餐廳', '訂位', '皮脆', '地下室', '肉汁', '非常']"
Soshow Bar & Restaurant,"['推薦', '台灣', '不過', '調酒', '中山北路', '氣氛', '餐酒館', '客滿', '感覺', '這是']"
スシロー壽司郎 台北中華路店,"['那麼', '沒有', '壽司', '這個', '餐點', '什麼', '那邊', '這麼', '謊言', '因為']"
ONE TEN Restaurant 食分之一餐館,"['餐點', '食材', '料理', '香氣', '餐廳', '刺蔥', '特別', '口感', '原住民', '牛肝菌']"
El Marques,"['西班牙', '料理', '也許', '餐廳', '蘑菇', '巴斯克', '去過', '不會', '覺得', '海鮮燉']"
B612 Restaurant & Bar - B612餐酒館,"['服務', '松露', '餐點', '我妹', '燈光', '溫馨', '野菇', '薯條', '餐酒館', '適合']"
餃子樂 東豐店,"['有點', 'pay', '真的', '水餃', '價位', '環境', '乾淨', '整潔', '點了', '餃子店']"
Snail 蝸牛義大利餐廳 敦南店,"['大利', '套餐', '開胃', '飲料', '不錯', '份量', '用餐', '時間', '價格', '披薩']"
Alma Spanish Restaurant,"['餐點', '一點', '不過', '推薦', '口味', '西班牙', '配上', '口感', '沙丁魚', '花滔']"
魚菜居酒屋,"['喜歡', '餐點', '水蓮', '不錯', '還有', '建議', '吃不完', '可以', '招待', '羊肉']"
赤門居酒屋,"['牛筋', '因為', '下酒', '用餐', '明太子', '裝潢', '建議', '居酒', '不錯', '干擾']"
雷鳥居酒屋,"['親切', '推薦', '食物', '明太子', '酒屋', '氛圍', '鮭魚', '還不錯', '整體', '點了']"
饕酒窩居酒屋,"['一個', '驚艷', '鱈魚', '起來', '整個', '豬排', '日式', '酥脆', '慢慢', '脆皮']"
Gustoso Italian Restaurant,"['炒蛋', '早餐', '小姐姐', '主餐', 'buffet', '現烤', 'pizza', '精選', '甜點', '綿密']"
太和殿鴛鴦麻辣火鍋,"['湯頭', '麻辣', '用餐', '他們', '血豆腐', '鍋底', '環境', '丸子', '超軟', '很夠']"
大嗑西式餐館,"['牛排', '搭配', '起來', '主餐', '海膽燉', '餐點', '威靈頓', '濃郁', '特別', '服務']"
Beef noodle soup restaurant,[]
銀翼餐廳,"['餐廳', '雖然', '小籠', '湯包', '鍋餅', '銀翼', '雪菜', '口感', '味道', '這家']"
collective elements restaurant 健康餐廳,"['結果', '那麼', '店員', '過期', '裡面', '用餐', '本來', '時候', '不會', '覺得']"
H&W Restaurant and Bar,"['店員', '餐點', '感覺', '不錯', '鈴薯', '氣氛', '活動', '服務', '超棒', '360']"
紅蜻蜓食事處,"['路過', '時間', '覺得', '環境', '居酒', '比較', '剛好', '燒烤', '味道', '日本']"
爭鮮迴轉壽司-林森店,"['壽司', '還有', '餐點', '一點', '用餐', '內用', '點餐', '覺得', '沒有', '40']"
スシロー壽司郎 台北館前路店,"['壽司', '炙燒', '鮭魚', '螃蟹', '明太子', '盤子', '感覺', '餐點', '推薦', '天婦']"
鬍鬚張魯肉飯(美食文化館),"['冷氣', '豬腳', '服務', '乾淨', '座位', '太油', '蹄膀', '制式化', '配菜', '人龍']"
莫夏印度餐廳 Moksha Indian Restaurant,"['烤餅', '咖哩', '印度', '奶茶', '香料', '餐廳', '服務', '因為', '料理', '非常']"
Jai Ho Indian Restaurant 翡宴印度餐廳天母,"['咖哩', '烤餅', '味道', '天母', '咖喱', '莎拉', '很特別', '兩種', '飽足感', '單上']"
V&O BAR AND KITCHEN東地中海料理&酒吧,"['料理', '餐點', '用餐', '台灣', '嘗試', '特別', '嘴豆', '非常', '番茄', '不錯']"
印度蘭異國餐廳Orchid Indian restaurant/barbecue/台北美食/台北異國料理/附近美食/台北印度料理,"['烤餅', '咖哩', '美味', '料理', '香料', '不錯', '濃郁', '鈴薯', '非常', '味道']"
Restaurant Page 頁小館,"['提拉', '幫忙', '薯條', '不錯', '淡菜', '羊排', '下次', '厲害', '餐廳', '人覺']"
王品牛排 台北中山北店,"['口感', '濃郁', '濃湯', '味道', '香氣', '菲力', '多汁', '巧克力', '服務', '軟嫩']"
亞瑟蘭印度餐廳Family Indian Restaurant,"['咖哩', '咖喱', '口味', '羊肉', '不錯', '不過', '烤餅', '服務生', '服務', '喜歡']"
蝸牛義大利餐廳 民生店,"['起司', '甜點', '比較', '覺得', '因為', '口味', '牛排', '雙人餐', '巴薩米', '章魚']"
SipSip Bar & Restaurant,"['時間', '烤餅', '薯條', '午餐', '服務', '氣氛', '調味', '酥脆', '用餐', '口感']"
水牛城美式餐廳BFLO,"['濃湯', '一點', '有點', '鮮嫩', '一個', '飲料', '好喝', '牛排', '多汁', '洋式']"
すき家士林,"['秋葵', '無法', '一個', '托盤', '士林', '曾經', '漲價', '餐點', '衛生', '起司']"
Lazy Point Restaurant & Bar,"['店員', '主餐', '這個', '沒有', '一個', '朋友', '問題', '不會', '服務', '真的']"
海世界活海鮮餐廳,"['海鮮', '冬粉', '餐廳', '起來', '鮑魚', '不錯', '香氣', '鮮度', '干貝', '真的']"
俄羅斯城堡,"['甜點', '宋湯', '餐點', '特別', '沙拉', '套餐', '味道', '俄羅斯', '主餐', '布林餅']"
濟南牛肉麵,"['牛肉', '湯頭', '客氣', '排隊', '紅燒', '皮蛋', '酸菜', '小菜', '10', '200']"
鼎泰豐 信義店,"['小籠', '鼎泰豐', '信義店', '排骨', '外帶', '樓梯', '炒飯', '沒有', '服務人員', '態度']"
激屋居酒屋,"['包廂', '非常', '暢飲', '環境', '料理', '599', '90', '分鐘', '舒適', '服務態度']"
什串居酒屋,"['香氣', '選擇', '60', '適合', '品項', '居酒', '軟嫩', '整個', '50', '他們']"
隆居酒屋,"['生魚片', '牛筋', '非常', '酒屋', '新鮮', '鮮甜', '居酒', '拍照', '加生', '刺身']"
草山夜未眠景觀餐廳,"['夜景', '這次', '戶外', '覺得', '氛圍', '不錯', '101', '當晚', '有點', '真的']"
Patio Gourmet Burgers & Craft Beer,"['薯條', '親切', '調酒', '漢堡', '美式', '天母', '還好', '還有', '他們', '選擇']"
仙客來海鮮庭園餐廳,"['還有', '氣氛', '餐點', '不錯', '推薦', '覺得', '過去', '這次', 'OK', '普通']"
安鳥居酒屋,"['芝山', '天母', '好友', '明太子', '酒屋', '炸物', '預約', '還好', '一個', '最愛的']"
Churchill's Sausages,"['牛肉', '香腸', '時候', '雞肉', '一邊', '因為', '一個', '推薦', '洋蔥', '旁邊']"
松竹園,"['10', '脆皮', '停車場', '還有', '饅頭', '...', '建議', '停車', '高麗菜', '這間']"
すき家芝山,"['餐點', '確認', '圖片', '問題', '過來', '唐揚', '這麼', '重點', '連鎖', '餐廳']"
番紅花印度美饌 Saffron Fine Indian Cuisine,"['餐廳', '咖哩', '香料', '羊肉', '米其林', '烤餅', '有點', '主菜', '口味', '菜色']"
菁豔景觀餐廳,"['用餐', '餐廳', '臭豆腐', '時間', '東坡', '苦瓜', '金沙', '牛肉', '餐點', '渡假村']"
凱莉餐廳,"['環境', '炸雞', '奶昔', '餐點', '價格', '餐廳', '好喝', '不夠', '重點', '服務']"
萬麗軒,"['服務人員', '收盤', '小點', '推薦', '用餐', '餐券', '舒適', '處理', '一個', '喜歡']"
非常泰 遠東SOGO天母店,"['天母', '特別', '應該', '泰式', '餐點', '人餐', '蝦餅', '餐廳', '甜點', '服務']"
月湖歐式餐廳,"['沙拉', '不錯', '牛排', '前菜', '黑胡椒', '用餐', '味道', '商業', '甜點', '氣氛']"
鼎泰豐 天母店,"['中規', '中矩', '小籠', '口感', '整體', '炒飯', '親切', '抄手', '排骨', '每道菜']"
麥當勞-陽明山餐廳,"['因為', '用餐', '餐點', '麥當勞', '大薯', '體驗', '漢堡', '一樣', '發現', '12']"
蒂朵義式餐廳,"['整體', '味道', '價格', '大利', '份量', '天母', '餐廳', '不過', '薄皮', 'pizza']"
西門暖閣餐酒館／waroom Restaurant Bar,"['仔仔', '店員', '環境', '氣氛', '適合', '超親切', '乾淨', '超好', '服務員', '很熱情']"
一福IPPUKU串燒酒場,"['串燒', '空間', '餐點', '鮭魚', '10', '不錯', '店家', '一福', '相當', '店內']"
喝桶海餐廳,"['包廂', '下飯', '餐廳', '來板橋', '一個', '還有', '熱炒店', '有點', '菜色', '聚餐']"
乾杯列車 板橋站,"['乾杯', '整體', '不錯', '份量', '生日', '還有', '店內', '板車', '二樓', '那麼']"
麵麵牛肉麵,"['牛肉', '餐點', '餛飩', '湯頭', '上桌', '食客', '青菜', '因為', '沒有', '人桌']"
すき家板橋府中,"['咖喱', '唐揚', '咖哩', '青菜', '口味', '牛肉', '這樣', '還不錯', '有夠', 'ok']"
大庭牛肉麵,"['牛肉', '麻醬', '清燉', '不錯', '還不錯', '座位', '用餐', '地下室', '湯頭', '紅燒']"
すき家幸福,"['溫泉', '還有', '料理', '覺得', '還不錯', '現炸', '推薦', '餐點', '牛肉', '用餐']"
阿達師牛肉麵,"['牛肉', '小菜', '起來', '喜歡', '家常', '結帳', '140', '大塊', '半顆', '還有']"
百里香熱炒,"['份量', '蝦球', '剁椒魚', '餐點', '拿到', '盛情款待', '客人', '焦味', '餐盒', '2024']"
豐華小館,"['雞湯', '獅子頭', '脆皮', '餐廳', '紅燒', '白菜', '排骨', '口感', '火腿', '白飯']"
添好運 - 板橋大遠百店,"['餐點', '整體', '腸粉', '味道', '口感', '吐司', '口味', '服務人員', '特別', '起來']"
笑匠居酒屋,"['甜不辣', '不錯', '親切', '服務', '餐點', '很棒', '晚餐', '一夜', '毛豆', '明太子']"
金風牛肉麵,"['牛肉', '母親', '蛋花', '美食街', '醫院', '時間', '不錯', '金風', '雖然', '已經']"
鶴料居酒屋,"['非常', '美味', '居酒', '空間', '推薦', '親切', '板橋', '雖然', '裝潢', '服務人員']"
