place_id,keywords
ChIJ7yglkB6oQjQRbTrDqneWpAA,"['停電', '溫度', '問題', '房間', '空調', '房客', '飯店', '因為', '無法', '冷氣']"
ChIJs1GpJhyoQjQR9ul-GAq0ibg,"['飯店', '入住', '退房', '房間', '電視', '沒有', '選擇', '電話', '早餐', '浴室']"
ChIJkapbewmpQjQRnpca7Xim2rk,"['房間', '飯店', '入住', '有點', '房內', '服務', '它們', '這點', '滿意', '喜歡']"
ChIJoXtmVHoDaDQRkRp0dq3Z1_g,"['飯店', '房間', '乾淨', '服務', '停車場', '問題', '整體', '20', '沒有', '給予']"
ChIJ2w7roB2oQjQRmGQJIv7JDgQ,"['早餐', '房間', '人員', '這裡', '客人', '友善', '感覺', '訂房', '他們', '不會']"
ChIJ4XLHCgmpQjQR5k7O6TLjpJY,"['房間', '地點', '西門', '方便', '電視', '飯店', '清潔', '人員', '服務', '大廳']"
ChIJiQs6lL2pQjQRGX2m8bIvDnU,"['房間', '飯店', '沒有', '灰塵', '感覺', '人員', '打掃', '補回', '一個', '住客']"
ChIJj9z_DSymQjQRe947CBa4s5A,"['飯店', '沒有', '缺點', '入住', '房間', '12', '這間', '必須', '不會', '浴缸']"
ChIJ2QZevAqpQjQRlfdyg7-UV5w,"['房間', '乾淨', '入住', '人員', '浴室', '旅店', '早餐', '台北', '老公', '雙人房']"
ChIJn8oIU4eoQjQRKLDliXk_2cI,"['停車場', '還要', '餐點', '有夠', '10', '感覺', '停車', '體驗', '極差', '停到']"
ChIJMxSLoHmpQjQROZPJGYeLD50,"['態度', '餐點', '結帳', '服務生', '用餐', '包廂', '門廳', '詢問', '人員', '不過']"
ChIJOxj4OHqoQjQRpZLTYn6-SGQ,"['飯店', '房間', '體育館', '觀看', '訂房', '房價', '還有', '服務態度', '很棒', '非常']"
ChIJdVeJkQmpQjQRndGpL5za49w,"['免費', '房間', '聲音', '詢問', '早餐', '地點', '飯店', '優格', '還有', '旅館']"
ChIJXWGY79apQjQRBwfatAGa2cM,"['服務', '房間', '客房', '設備', 'na', 'nb', '整體', '設施', 'nc', 'nd']"
ChIJySid3jmoQjQRpitVYPXAUk8,"['飯店', '房間', '態度', '入住', '10', '警報', '器響', '有點', '不會', '還有']"
ChIJM7ms1nOoQjQRgOhTT1ET95A,"['房間', '煙味', '房型', '入住', '早餐', '隔音', '商旅', '地點', '分鐘', '對面']"
ChIJdTh981-pQjQRoftqsHwCEQU,"['hotel', 'room', 'but', 'balcony', 'will', 'breakfast', 'But', 'lobby', '飯店', 'provided']"
ChIJHTnnyXOvQjQR40GMjeS-Tlg,"['房間', '乾淨', '芝山', '浴缸', '客房', '垃圾桶', '提早到', '服務', '10', '設備']"
ChIJM5sCLg2pQjQR5DJI47M5PoQ,"['房間', '車站', '分鐘', '一個', '設計', '地點', '台北', '..', '乾淨', '設備']"
ChIJQd1lutqrQjQR4w9gRLAP_y0,"['乾淨', '地下街', '整潔', '冷氣安靜', '區域', '備品', '環境', '餐廳', '單人房', '乾濕']"
ChIJhZAXlTKqQjQRSc-vn70I9So,"['飯店', '態度', '店方', '房間', '預先', '沒有', '一個', '問題', '人員', '授權']"
ChIJt3yXuFupQjQRDx4Rfeo8IWI,"['飯店', '12', '退房', '五星', '房間', '問題', '沒有', '什麼', '處理', '聯絡']"
ChIJV4ELkM-pQjQR5rOZjI6kAh4,"['房間', '感覺', '浴室', '隔音', '乾淨', '熱水', '問題', '還有', '什麼', '體驗']"
ChIJnTf9loqpQjQRkJ81-URNMRQ,"['捷絲', '房間', '可以', '特別', 'NTU', '旁邊', '早餐', '隔音', '用餐', '入住']"
ChIJ_UTZ0QKtQjQR72bWFrZnd_g,"['房間', '飯店', '空間', '服務', '早餐', '用餐', '入住', '相當', '感覺', '更換']"
ChIJdSX6_VurQjQRzyeGLQjfQ1c,"['人員', '入住', '飯店', '退房', '餐廳', '沒有', '浴缸', '暖氣', '設備', '房間']"
ChIJc9UqqKesQjQRhgMHAqiNWiM,"['房間', '商旅', '入住', '早餐', '整體', '人員', '硬體', '服務人員', '非常', '隔音']"
ChIJty1ap7erQjQRWmO-mTv1zkQ,"['房間', '服務', 'n3', 'n1', 'n2', '設備', '確認', '沒有', '可以', '酒店']"
ChIJy-PoScKrQjQR3u-gUa_kcPk,"['房間', '早餐', '酒店', '空間', '選項', '藝術', '提供', '米粉', '浴缸', '喜歡']"
ChIJa2L0MMqrQjQRjj7yLkrL71g,"['房間', '服務', '入住', '價格', '飯店', '不錯', '臨近', '101', '空間', '有點']"
ChIJsd4_3y-qQjQRprEY8OElzZI,"['無法', '飯店', '入住', '吐司', '那種', 'n1', '房間', '空間', '10', '衛浴']"
ChIJg7wMgf2pQjQRNyH3UgpKvzg,"['沒有', '有夠', '清潔', '吊牌', '人員', '隔壁', '傻眼', '退房', '隔音', '霉斑']"
ChIJy3gG2-6qQjQRhcojBWHBiGE,"['飯店', '房間', '浴缸', '20', '分鐘', '00', '服務台', '發現', '電話', '設施']"
ChIJU0w5SdGrQjQRYugzBai1GgU,"['房間', '一個', '沒有', 'lounge', '裡面', '時間', '飯店', '起來', '客廳', '台北']"
